Item,Price,Date
"Blade roast, 1 kilogram",6.65,2000-07-01
"Stewing beef, 1 kilogram",7.34,2000-07-01
"Ground beef, 1 kilogram",4.44,2000-07-01
"Pork chops, 1 kilogram",9.25,2000-07-01
"Chicken, 1 kilogram",4.44,2000-07-01
"Bacon, 500 grams",4.28,2000-07-01
"Wieners, 450 grams",2.27,2000-07-01
"Canned salmon, 213 grams",4.24,2000-07-01
"Homogenized milk, 4 litres",,2000-07-01
"Partly skimmed milk, 4 litres",,2000-07-01
"Butter, 454 grams",3.09,2000-07-01
"Processed cheese slices, 250 grams",2.49,2000-07-01
"Evaporated milk, 385 millilitres",1.1,2000-07-01
"Eggs, 1 dozen",1.87,2000-07-01
"Bread, 675 grams",1.37,2000-07-01
"Soda crackers, 450 grams",1.87,2000-07-01
"Macaroni, 500 grams",0.94,2000-07-01
"Flour, 2.5 kilograms",3.43,2000-07-01
"Corn flakes, 675 grams",3.43,2000-07-01
"Apples, 1 kilogram",2.67,2000-07-01
"Bananas, 1 kilogram",1.24,2000-07-01
"Oranges, 1 kilogram",2.13,2000-07-01
"Apple juice, 1.36 litres",1.52,2000-07-01
"Orange juice, 1 litre",2.97,2000-07-01
"Carrots, 1 kilogram",1.61,2000-07-01
"Mushrooms, 1 kilogram",5.87,2000-07-01
"Onions, 1 kilogram",1.26,2000-07-01
"Potatoes, 4.54 kilograms",4.89,2000-07-01
"French fried potatoes, frozen, 1 kilogram",1.68,2000-07-01
"Baked beans, canned, 398 millilitres",0.79,2000-07-01
"Tomatoes, canned, 796 millilitres",1.26,2000-07-01
"Tomato juice, 1.36 litres",1.53,2000-07-01
"Ketchup, 1 litre",2.47,2000-07-01
"Sugar, white, 2 kilograms",2.36,2000-07-01
"Coffee, roasted, 300 grams",3.38,2000-07-01
"Coffee, instant, 200 grams",4.78,2000-07-01
Tea (72 bags),3.33,2000-07-01
"Cooking or salad oil, 1 litre",3.04,2000-07-01
"Soup, canned, 284 millilitres",0.77,2000-07-01
"Baby food, 128 millilitres",0.54,2000-07-01
"Peanut butter, 500 grams",2.57,2000-07-01
Paper towels (2 rolls),1.91,2000-07-01
Facial tissue (200 tissues),1.47,2000-07-01
Bathroom tissue (4 rolls),1.79,2000-07-01
"Shampoo, 300 millilitres",3.1,2000-07-01
"Deodorant, 60 grams",2.92,2000-07-01
"Toothpaste, 100 millilitres",1.29,2000-07-01
Cigarettes (200),37.03,2000-07-01
,,2000-08-01
"Round steak, 1 kilogram",9.87,2000-08-01
"Sirloin steak, 1 kilogram",12.57,2000-08-01
"Prime rib roast, 1 kilogram",15.87,2000-08-01
"Blade roast, 1 kilogram",6.48,2000-08-01
"Stewing beef, 1 kilogram",7.24,2000-08-01
"Ground beef, 1 kilogram",4.43,2000-08-01
"Pork chops, 1 kilogram",9.26,2000-08-01
"Chicken, 1 kilogram",4.47,2000-08-01
"Bacon, 500 grams",4.3,2000-08-01
"Wieners, 450 grams",2.3,2000-08-01
"Canned salmon, 213 grams",4.27,2000-08-01
"Homogenized milk, 4 litres",,2000-08-01
"Partly skimmed milk, 4 litres",,2000-08-01
"Butter, 454 grams",3.05,2000-08-01
"Processed cheese slices, 250 grams",2.45,2000-08-01
"Evaporated milk, 385 millilitres",1.11,2000-08-01
"Eggs, 1 dozen",1.87,2000-08-01
"Bread, 675 grams",1.39,2000-08-01
"Soda crackers, 450 grams",1.84,2000-08-01
"Macaroni, 500 grams",0.97,2000-08-01
"Flour, 2.5 kilograms",3.45,2000-08-01
"Corn flakes, 675 grams",3.34,2000-08-01
"Apples, 1 kilogram",2.77,2000-08-01
"Bananas, 1 kilogram",1.22,2000-08-01
"Oranges, 1 kilogram",2.14,2000-08-01
"Apple juice, 1.36 litres",1.54,2000-08-01
"Orange juice, 1 litre",3.04,2000-08-01
"Carrots, 1 kilogram",1.46,2000-08-01
"Mushrooms, 1 kilogram",5.74,2000-08-01
"Onions, 1 kilogram",1.42,2000-08-01
"Potatoes, 4.54 kilograms",4.75,2000-08-01
"French fried potatoes, frozen, 1 kilogram",1.61,2000-08-01
"Baked beans, canned, 398 millilitres",0.8,2000-08-01
"Tomatoes, canned, 796 millilitres",1.26,2000-08-01
"Tomato juice, 1.36 litres",1.53,2000-08-01
"Ketchup, 1 litre",2.44,2000-08-01
"Sugar, white, 2 kilograms",2.4,2000-08-01
"Coffee, roasted, 300 grams",3.38,2000-08-01
"Coffee, instant, 200 grams",4.74,2000-08-01
Tea (72 bags),3.35,2000-08-01
"Cooking or salad oil, 1 litre",3.06,2000-08-01
"Soup, canned, 284 millilitres",0.75,2000-08-01
"Baby food, 128 millilitres",0.55,2000-08-01
"Peanut butter, 500 grams",2.61,2000-08-01
Paper towels (2 rolls),1.93,2000-08-01
Facial tissue (200 tissues),1.47,2000-08-01
Bathroom tissue (4 rolls),1.81,2000-08-01
"Shampoo, 300 millilitres",3.11,2000-08-01
"Deodorant, 60 grams",2.88,2000-08-01
"Toothpaste, 100 millilitres",1.26,2000-08-01
Cigarettes (200),37.03,2000-08-01
,,2000-09-01
"Round steak, 1 kilogram",9.7,2000-09-01
"Sirloin steak, 1 kilogram",12.8,2000-09-01
"Prime rib roast, 1 kilogram",16.22,2000-09-01
"Blade roast, 1 kilogram",6.6,2000-09-01
"Stewing beef, 1 kilogram",7.17,2000-09-01
"Ground beef, 1 kilogram",4.45,2000-09-01
"Pork chops, 1 kilogram",9.19,2000-09-01
"Chicken, 1 kilogram",4.36,2000-09-01
"Bacon, 500 grams",4.3,2000-09-01
"Wieners, 450 grams",2.34,2000-09-01
"Canned salmon, 213 grams",4.24,2000-09-01
"Homogenized milk, 4 litres",,2000-09-01
"Partly skimmed milk, 4 litres",,2000-09-01
"Butter, 454 grams",3.1,2000-09-01
"Processed cheese slices, 250 grams",2.47,2000-09-01
"Evaporated milk, 385 millilitres",1.1,2000-09-01
"Eggs, 1 dozen",1.89,2000-09-01
"Bread, 675 grams",1.35,2000-09-01
"Soda crackers, 450 grams",1.87,2000-09-01
"Macaroni, 500 grams",0.98,2000-09-01
"Flour, 2.5 kilograms",3.38,2000-09-01
"Corn flakes, 675 grams",3.32,2000-09-01
"Apples, 1 kilogram",2.71,2000-09-01
"Bananas, 1 kilogram",1.17,2000-09-01
"Oranges, 1 kilogram",2.05,2000-09-01
"Apple juice, 1.36 litres",1.55,2000-09-01
"Orange juice, 1 litre",2.99,2000-09-01
"Carrots, 1 kilogram",1.09,2000-09-01
"Mushrooms, 1 kilogram",5.8,2000-09-01
"Onions, 1 kilogram",1.23,2000-09-01
"Potatoes, 4.54 kilograms",3.84,2000-09-01
"French fried potatoes, frozen, 1 kilogram",1.65,2000-09-01
"Baked beans, canned, 398 millilitres",0.82,2000-09-01
"Tomatoes, canned, 796 millilitres",1.23,2000-09-01
"Tomato juice, 1.36 litres",1.52,2000-09-01
"Ketchup, 1 litre",2.47,2000-09-01
"Sugar, white, 2 kilograms",2.39,2000-09-01
"Coffee, roasted, 300 grams",3.23,2000-09-01
"Coffee, instant, 200 grams",4.71,2000-09-01
Tea (72 bags),3.38,2000-09-01
"Cooking or salad oil, 1 litre",3.08,2000-09-01
"Soup, canned, 284 millilitres",0.73,2000-09-01
"Baby food, 128 millilitres",0.56,2000-09-01
"Peanut butter, 500 grams",2.53,2000-09-01
Paper towels (2 rolls),1.96,2000-09-01
Facial tissue (200 tissues),1.47,2000-09-01
Bathroom tissue (4 rolls),1.83,2000-09-01
"Shampoo, 300 millilitres",3.23,2000-09-01
"Deodorant, 60 grams",2.88,2000-09-01
"Toothpaste, 100 millilitres",1.23,2000-09-01
Cigarettes (200),37.17,2000-09-01
,,2000-10-01
"Round steak, 1 kilogram",9.86,2000-10-01
"Sirloin steak, 1 kilogram",11.97,2000-10-01
"Prime rib roast, 1 kilogram",15.91,2000-10-01
"Blade roast, 1 kilogram",6.55,2000-10-01
"Stewing beef, 1 kilogram",7.12,2000-10-01
"Ground beef, 1 kilogram",4.47,2000-10-01
"Pork chops, 1 kilogram",9.13,2000-10-01
"Chicken, 1 kilogram",4.51,2000-10-01
"Bacon, 500 grams",4.14,2000-10-01
"Wieners, 450 grams",2.46,2000-10-01
"Canned salmon, 213 grams",4.24,2000-10-01
"Homogenized milk, 4 litres",,2000-10-01
"Partly skimmed milk, 4 litres",,2000-10-01
"Butter, 454 grams",3.11,2000-10-01
"Processed cheese slices, 250 grams",2.49,2000-10-01
"Evaporated milk, 385 millilitres",1.07,2000-10-01
"Eggs, 1 dozen",1.87,2000-10-01
"Bread, 675 grams",1.37,2000-10-01
"Soda crackers, 450 grams",1.85,2000-10-01
"Macaroni, 500 grams",0.98,2000-10-01
"Flour, 2.5 kilograms",3.36,2000-10-01
"Corn flakes, 675 grams",3.36,2000-10-01
"Apples, 1 kilogram",2.52,2000-10-01
"Bananas, 1 kilogram",1.2,2000-10-01
"Oranges, 1 kilogram",1.91,2000-10-01
"Apple juice, 1.36 litres",1.52,2000-10-01
"Orange juice, 1 litre",2.99,2000-10-01
"Carrots, 1 kilogram",1.03,2000-10-01
"Mushrooms, 1 kilogram",5.77,2000-10-01
"Onions, 1 kilogram",1.07,2000-10-01
"Potatoes, 4.54 kilograms",3.58,2000-10-01
"French fried potatoes, frozen, 1 kilogram",1.69,2000-10-01
"Baked beans, canned, 398 millilitres",0.83,2000-10-01
"Tomatoes, canned, 796 millilitres",1.24,2000-10-01
"Tomato juice, 1.36 litres",1.47,2000-10-01
"Ketchup, 1 litre",2.49,2000-10-01
"Sugar, white, 2 kilograms",2.42,2000-10-01
"Coffee, roasted, 300 grams",3.27,2000-10-01
"Coffee, instant, 200 grams",4.68,2000-10-01
Tea (72 bags),3.35,2000-10-01
"Cooking or salad oil, 1 litre",3.06,2000-10-01
"Soup, canned, 284 millilitres",0.76,2000-10-01
"Baby food, 128 millilitres",0.56,2000-10-01
"Peanut butter, 500 grams",2.59,2000-10-01
Paper towels (2 rolls),1.97,2000-10-01
Facial tissue (200 tissues),1.48,2000-10-01
Bathroom tissue (4 rolls),1.81,2000-10-01
"Shampoo, 300 millilitres",3.2,2000-10-01
"Deodorant, 60 grams",2.79,2000-10-01
"Toothpaste, 100 millilitres",1.27,2000-10-01
Cigarettes (200),37.02,2000-10-01
,,2000-11-01
"Round steak, 1 kilogram",9.79,2000-11-01
"Sirloin steak, 1 kilogram",11.73,2000-11-01
"Prime rib roast, 1 kilogram",16.19,2000-11-01
"Blade roast, 1 kilogram",6.69,2000-11-01
"Stewing beef, 1 kilogram",7.28,2000-11-01
"Ground beef, 1 kilogram",4.51,2000-11-01
"Pork chops, 1 kilogram",9.05,2000-11-01
"Chicken, 1 kilogram",4.39,2000-11-01
"Bacon, 500 grams",3.98,2000-11-01
"Wieners, 450 grams",2.48,2000-11-01
"Canned salmon, 213 grams",4.22,2000-11-01
"Homogenized milk, 4 litres",,2000-11-01
"Partly skimmed milk, 4 litres",,2000-11-01
"Butter, 454 grams",3.1,2000-11-01
"Processed cheese slices, 250 grams",2.48,2000-11-01
"Evaporated milk, 385 millilitres",1.06,2000-11-01
"Eggs, 1 dozen",1.91,2000-11-01
"Bread, 675 grams",1.36,2000-11-01
"Soda crackers, 450 grams",1.88,2000-11-01
"Macaroni, 500 grams",0.99,2000-11-01
"Flour, 2.5 kilograms",3.27,2000-11-01
"Corn flakes, 675 grams",3.43,2000-11-01
"Apples, 1 kilogram",2.53,2000-11-01
"Bananas, 1 kilogram",1.2,2000-11-01
"Oranges, 1 kilogram",1.93,2000-11-01
"Apple juice, 1.36 litres",1.54,2000-11-01
"Orange juice, 1 litre",3.01,2000-11-01
"Carrots, 1 kilogram",1.03,2000-11-01
"Mushrooms, 1 kilogram",5.82,2000-11-01
"Onions, 1 kilogram",1.02,2000-11-01
"Potatoes, 4.54 kilograms",3.44,2000-11-01
"French fried potatoes, frozen, 1 kilogram",1.66,2000-11-01
"Baked beans, canned, 398 millilitres",0.82,2000-11-01
"Tomatoes, canned, 796 millilitres",1.21,2000-11-01
"Tomato juice, 1.36 litres",1.47,2000-11-01
"Ketchup, 1 litre",2.54,2000-11-01
"Sugar, white, 2 kilograms",2.42,2000-11-01
"Coffee, roasted, 300 grams",3.21,2000-11-01
"Coffee, instant, 200 grams",4.7,2000-11-01
Tea (72 bags),3.33,2000-11-01
"Cooking or salad oil, 1 litre",3.09,2000-11-01
"Soup, canned, 284 millilitres",0.74,2000-11-01
"Baby food, 128 millilitres",0.57,2000-11-01
"Peanut butter, 500 grams",2.59,2000-11-01
Paper towels (2 rolls),1.94,2000-11-01
Facial tissue (200 tissues),1.49,2000-11-01
Bathroom tissue (4 rolls),1.82,2000-11-01
"Shampoo, 300 millilitres",3.24,2000-11-01
"Deodorant, 60 grams",2.77,2000-11-01
"Toothpaste, 100 millilitres",1.2,2000-11-01
Cigarettes (200),37.04,2000-11-01
,,2000-12-01
"Round steak, 1 kilogram",10.25,2000-12-01
"Sirloin steak, 1 kilogram",12.32,2000-12-01
"Prime rib roast, 1 kilogram",16.13,2000-12-01
"Blade roast, 1 kilogram",7.0,2000-12-01
"Stewing beef, 1 kilogram",7.57,2000-12-01
"Ground beef, 1 kilogram",4.54,2000-12-01
"Pork chops, 1 kilogram",9.24,2000-12-01
"Chicken, 1 kilogram",4.45,2000-12-01
"Bacon, 500 grams",3.83,2000-12-01
"Wieners, 450 grams",2.53,2000-12-01
"Canned salmon, 213 grams",4.15,2000-12-01
"Homogenized milk, 4 litres",,2000-12-01
"Partly skimmed milk, 4 litres",,2000-12-01
"Butter, 454 grams",3.11,2000-12-01
"Processed cheese slices, 250 grams",2.5,2000-12-01
"Evaporated milk, 385 millilitres",1.09,2000-12-01
"Eggs, 1 dozen",1.92,2000-12-01
"Bread, 675 grams",1.39,2000-12-01
"Soda crackers, 450 grams",1.89,2000-12-01
"Macaroni, 500 grams",1.0,2000-12-01
"Flour, 2.5 kilograms",3.32,2000-12-01
"Corn flakes, 675 grams",3.5,2000-12-01
"Apples, 1 kilogram",2.53,2000-12-01
"Bananas, 1 kilogram",1.21,2000-12-01
"Oranges, 1 kilogram",2.1,2000-12-01
"Apple juice, 1.36 litres",1.56,2000-12-01
"Orange juice, 1 litre",3.01,2000-12-01
"Carrots, 1 kilogram",1.1,2000-12-01
"Mushrooms, 1 kilogram",5.94,2000-12-01
"Onions, 1 kilogram",1.05,2000-12-01
"Potatoes, 4.54 kilograms",3.56,2000-12-01
"French fried potatoes, frozen, 1 kilogram",1.73,2000-12-01
"Baked beans, canned, 398 millilitres",0.86,2000-12-01
"Tomatoes, canned, 796 millilitres",1.23,2000-12-01
"Tomato juice, 1.36 litres",1.47,2000-12-01
"Ketchup, 1 litre",2.59,2000-12-01
"Sugar, white, 2 kilograms",2.51,2000-12-01
"Coffee, roasted, 300 grams",3.25,2000-12-01
"Coffee, instant, 200 grams",4.72,2000-12-01
Tea (72 bags),3.37,2000-12-01
"Cooking or salad oil, 1 litre",3.1,2000-12-01
"Soup, canned, 284 millilitres",0.77,2000-12-01
"Baby food, 128 millilitres",0.56,2000-12-01
"Peanut butter, 500 grams",2.58,2000-12-01
Paper towels (2 rolls),2.01,2000-12-01
Facial tissue (200 tissues),1.52,2000-12-01
Bathroom tissue (4 rolls),1.83,2000-12-01
"Shampoo, 300 millilitres",3.23,2000-12-01
"Deodorant, 60 grams",2.89,2000-12-01
"Toothpaste, 100 millilitres",1.2,2000-12-01
Cigarettes (200),37.49,2000-12-01
,,2001-01-01
"Round steak, 1 kilogram",10.41,2001-01-01
"Sirloin steak, 1 kilogram",12.77,2001-01-01
"Prime rib roast, 1 kilogram",16.9,2001-01-01
"Blade roast, 1 kilogram",7.17,2001-01-01
"Stewing beef, 1 kilogram",7.43,2001-01-01
"Ground beef, 1 kilogram",4.61,2001-01-01
"Pork chops, 1 kilogram",9.21,2001-01-01
"Chicken, 1 kilogram",4.53,2001-01-01
"Bacon, 500 grams",3.97,2001-01-01
"Wieners, 450 grams",2.49,2001-01-01
"Canned salmon, 213 grams",4.18,2001-01-01
"Homogenized milk, 4 litres",,2001-01-01
"Partly skimmed milk, 4 litres",,2001-01-01
"Butter, 454 grams",3.14,2001-01-01
"Processed cheese slices, 250 grams",2.48,2001-01-01
"Evaporated milk, 385 millilitres",1.1,2001-01-01
"Eggs, 1 dozen",1.93,2001-01-01
"Bread, 675 grams",1.39,2001-01-01
"Soda crackers, 450 grams",1.84,2001-01-01
"Macaroni, 500 grams",0.96,2001-01-01
"Flour, 2.5 kilograms",3.39,2001-01-01
"Corn flakes, 675 grams",3.29,2001-01-01
"Apples, 1 kilogram",2.52,2001-01-01
"Bananas, 1 kilogram",1.29,2001-01-01
"Oranges, 1 kilogram",1.94,2001-01-01
"Apple juice, 1.36 litres",1.54,2001-01-01
"Orange juice, 1 litre",2.96,2001-01-01
"Carrots, 1 kilogram",1.16,2001-01-01
"Mushrooms, 1 kilogram",5.84,2001-01-01
"Onions, 1 kilogram",1.06,2001-01-01
"Potatoes, 4.54 kilograms",3.6,2001-01-01
"French fried potatoes, frozen, 1 kilogram",1.7,2001-01-01
"Baked beans, canned, 398 millilitres",0.8,2001-01-01
"Tomatoes, canned, 796 millilitres",1.18,2001-01-01
"Tomato juice, 1.36 litres",1.48,2001-01-01
"Ketchup, 1 litre",2.54,2001-01-01
"Sugar, white, 2 kilograms",2.47,2001-01-01
"Coffee, roasted, 300 grams",3.23,2001-01-01
"Coffee, instant, 200 grams",4.69,2001-01-01
Tea (72 bags),3.36,2001-01-01
"Cooking or salad oil, 1 litre",3.09,2001-01-01
"Soup, canned, 284 millilitres",0.75,2001-01-01
"Baby food, 128 millilitres",0.55,2001-01-01
"Peanut butter, 500 grams",2.53,2001-01-01
Paper towels (2 rolls),2.0,2001-01-01
Facial tissue (200 tissues),1.5,2001-01-01
Bathroom tissue (4 rolls),1.84,2001-01-01
"Shampoo, 300 millilitres",3.25,2001-01-01
"Deodorant, 60 grams",2.86,2001-01-01
"Toothpaste, 100 millilitres",1.21,2001-01-01
Cigarettes (200),37.67,2001-01-01
,,2001-02-01
"Round steak, 1 kilogram",11.13,2001-02-01
"Sirloin steak, 1 kilogram",13.05,2001-02-01
"Prime rib roast, 1 kilogram",17.31,2001-02-01
"Blade roast, 1 kilogram",7.4,2001-02-01
"Stewing beef, 1 kilogram",7.91,2001-02-01
"Ground beef, 1 kilogram",4.79,2001-02-01
"Pork chops, 1 kilogram",9.05,2001-02-01
"Chicken, 1 kilogram",4.48,2001-02-01
"Bacon, 500 grams",3.86,2001-02-01
"Wieners, 450 grams",2.51,2001-02-01
"Canned salmon, 213 grams",3.97,2001-02-01
"Homogenized milk, 4 litres",,2001-02-01
"Partly skimmed milk, 4 litres",,2001-02-01
"Butter, 454 grams",3.19,2001-02-01
"Processed cheese slices, 250 grams",2.47,2001-02-01
"Evaporated milk, 385 millilitres",1.1,2001-02-01
"Eggs, 1 dozen",1.93,2001-02-01
"Bread, 675 grams",1.39,2001-02-01
"Soda crackers, 450 grams",1.89,2001-02-01
"Macaroni, 500 grams",0.99,2001-02-01
"Flour, 2.5 kilograms",3.35,2001-02-01
"Corn flakes, 675 grams",3.31,2001-02-01
"Apples, 1 kilogram",2.59,2001-02-01
"Bananas, 1 kilogram",1.32,2001-02-01
"Oranges, 1 kilogram",1.97,2001-02-01
"Apple juice, 1.36 litres",1.53,2001-02-01
"Orange juice, 1 litre",2.98,2001-02-01
"Carrots, 1 kilogram",1.27,2001-02-01
"Mushrooms, 1 kilogram",5.93,2001-02-01
"Onions, 1 kilogram",1.18,2001-02-01
"Potatoes, 4.54 kilograms",3.54,2001-02-01
"French fried potatoes, frozen, 1 kilogram",1.73,2001-02-01
"Baked beans, canned, 398 millilitres",0.81,2001-02-01
"Tomatoes, canned, 796 millilitres",1.21,2001-02-01
"Tomato juice, 1.36 litres",1.48,2001-02-01
"Ketchup, 1 litre",2.55,2001-02-01
"Sugar, white, 2 kilograms",2.43,2001-02-01
"Coffee, roasted, 300 grams",3.17,2001-02-01
"Coffee, instant, 200 grams",4.72,2001-02-01
Tea (72 bags),3.39,2001-02-01
"Cooking or salad oil, 1 litre",3.07,2001-02-01
"Soup, canned, 284 millilitres",0.75,2001-02-01
"Baby food, 128 millilitres",0.56,2001-02-01
"Peanut butter, 500 grams",2.54,2001-02-01
Paper towels (2 rolls),1.99,2001-02-01
Facial tissue (200 tissues),1.52,2001-02-01
Bathroom tissue (4 rolls),1.84,2001-02-01
"Shampoo, 300 millilitres",3.26,2001-02-01
"Deodorant, 60 grams",2.83,2001-02-01
"Toothpaste, 100 millilitres",1.28,2001-02-01
Cigarettes (200),37.58,2001-02-01
,,2001-03-01
"Round steak, 1 kilogram",11.47,2001-03-01
"Sirloin steak, 1 kilogram",13.5,2001-03-01
"Prime rib roast, 1 kilogram",17.61,2001-03-01
"Blade roast, 1 kilogram",7.85,2001-03-01
"Stewing beef, 1 kilogram",8.17,2001-03-01
"Ground beef, 1 kilogram",5.07,2001-03-01
"Pork chops, 1 kilogram",9.42,2001-03-01
"Chicken, 1 kilogram",4.39,2001-03-01
"Bacon, 500 grams",3.97,2001-03-01
"Wieners, 450 grams",2.53,2001-03-01
"Canned salmon, 213 grams",3.91,2001-03-01
"Homogenized milk, 4 litres",,2001-03-01
"Partly skimmed milk, 4 litres",,2001-03-01
"Butter, 454 grams",3.24,2001-03-01
"Processed cheese slices, 250 grams",2.48,2001-03-01
"Evaporated milk, 385 millilitres",1.12,2001-03-01
"Eggs, 1 dozen",1.96,2001-03-01
"Bread, 675 grams",1.4,2001-03-01
"Soda crackers, 450 grams",1.89,2001-03-01
"Macaroni, 500 grams",1.0,2001-03-01
"Flour, 2.5 kilograms",3.38,2001-03-01
"Corn flakes, 675 grams",3.29,2001-03-01
"Apples, 1 kilogram",2.52,2001-03-01
"Bananas, 1 kilogram",1.3,2001-03-01
"Oranges, 1 kilogram",1.99,2001-03-01
"Apple juice, 1.36 litres",1.56,2001-03-01
"Orange juice, 1 litre",3.03,2001-03-01
"Carrots, 1 kilogram",1.35,2001-03-01
"Mushrooms, 1 kilogram",6.06,2001-03-01
"Onions, 1 kilogram",1.22,2001-03-01
"Potatoes, 4.54 kilograms",3.38,2001-03-01
"French fried potatoes, frozen, 1 kilogram",1.7,2001-03-01
"Baked beans, canned, 398 millilitres",0.83,2001-03-01
"Tomatoes, canned, 796 millilitres",1.22,2001-03-01
"Tomato juice, 1.36 litres",1.49,2001-03-01
"Ketchup, 1 litre",2.61,2001-03-01
"Sugar, white, 2 kilograms",2.42,2001-03-01
"Coffee, roasted, 300 grams",3.17,2001-03-01
"Coffee, instant, 200 grams",4.73,2001-03-01
Tea (72 bags),3.38,2001-03-01
"Cooking or salad oil, 1 litre",3.06,2001-03-01
"Soup, canned, 284 millilitres",0.73,2001-03-01
"Baby food, 128 millilitres",0.55,2001-03-01
"Peanut butter, 500 grams",2.54,2001-03-01
Paper towels (2 rolls),2.0,2001-03-01
Facial tissue (200 tissues),1.51,2001-03-01
Bathroom tissue (4 rolls),1.84,2001-03-01
"Shampoo, 300 millilitres",3.26,2001-03-01
"Deodorant, 60 grams",2.92,2001-03-01
"Toothpaste, 100 millilitres",1.24,2001-03-01
Cigarettes (200),37.59,2001-03-01
,,2001-04-01
"Round steak, 1 kilogram",11.7,2001-04-01
"Sirloin steak, 1 kilogram",13.87,2001-04-01
"Prime rib roast, 1 kilogram",17.99,2001-04-01
"Blade roast, 1 kilogram",8.07,2001-04-01
"Stewing beef, 1 kilogram",8.45,2001-04-01
"Ground beef, 1 kilogram",5.11,2001-04-01
"Pork chops, 1 kilogram",10.13,2001-04-01
"Chicken, 1 kilogram",4.53,2001-04-01
"Bacon, 500 grams",3.96,2001-04-01
"Wieners, 450 grams",2.55,2001-04-01
"Canned salmon, 213 grams",4.0,2001-04-01
"Homogenized milk, 4 litres",,2001-04-01
"Partly skimmed milk, 4 litres",,2001-04-01
"Butter, 454 grams",3.23,2001-04-01
"Processed cheese slices, 250 grams",2.47,2001-04-01
"Evaporated milk, 385 millilitres",1.12,2001-04-01
"Eggs, 1 dozen",1.96,2001-04-01
"Bread, 675 grams",1.39,2001-04-01
"Soda crackers, 450 grams",1.93,2001-04-01
"Macaroni, 500 grams",0.99,2001-04-01
"Flour, 2.5 kilograms",3.36,2001-04-01
"Corn flakes, 675 grams",3.26,2001-04-01
"Apples, 1 kilogram",2.53,2001-04-01
"Bananas, 1 kilogram",1.29,2001-04-01
"Oranges, 1 kilogram",2.24,2001-04-01
"Apple juice, 1.36 litres",1.61,2001-04-01
"Orange juice, 1 litre",3.02,2001-04-01
"Carrots, 1 kilogram",1.57,2001-04-01
"Mushrooms, 1 kilogram",6.41,2001-04-01
"Onions, 1 kilogram",1.37,2001-04-01
"Potatoes, 4.54 kilograms",3.49,2001-04-01
"French fried potatoes, frozen, 1 kilogram",1.75,2001-04-01
"Baked beans, canned, 398 millilitres",0.84,2001-04-01
"Tomatoes, canned, 796 millilitres",1.21,2001-04-01
"Tomato juice, 1.36 litres",1.43,2001-04-01
"Ketchup, 1 litre",2.74,2001-04-01
"Sugar, white, 2 kilograms",2.43,2001-04-01
"Coffee, roasted, 300 grams",3.12,2001-04-01
"Coffee, instant, 200 grams",4.7,2001-04-01
Tea (72 bags),3.4,2001-04-01
"Cooking or salad oil, 1 litre",3.05,2001-04-01
"Soup, canned, 284 millilitres",0.76,2001-04-01
"Baby food, 128 millilitres",0.55,2001-04-01
"Peanut butter, 500 grams",2.58,2001-04-01
Paper towels (2 rolls),2.02,2001-04-01
Facial tissue (200 tissues),1.52,2001-04-01
Bathroom tissue (4 rolls),1.83,2001-04-01
"Shampoo, 300 millilitres",3.35,2001-04-01
"Deodorant, 60 grams",2.88,2001-04-01
"Toothpaste, 100 millilitres",1.27,2001-04-01
Cigarettes (200),40.51,2001-04-01
,,2001-05-01
"Round steak, 1 kilogram",11.38,2001-05-01
"Sirloin steak, 1 kilogram",14.95,2001-05-01
"Prime rib roast, 1 kilogram",18.44,2001-05-01
"Blade roast, 1 kilogram",7.99,2001-05-01
"Stewing beef, 1 kilogram",8.54,2001-05-01
"Ground beef, 1 kilogram",5.12,2001-05-01
"Pork chops, 1 kilogram",9.87,2001-05-01
"Chicken, 1 kilogram",4.56,2001-05-01
"Bacon, 500 grams",4.33,2001-05-01
"Wieners, 450 grams",2.37,2001-05-01
"Canned salmon, 213 grams",3.81,2001-05-01
"Homogenized milk, 4 litres",,2001-05-01
"Partly skimmed milk, 4 litres",,2001-05-01
"Butter, 454 grams",3.24,2001-05-01
"Processed cheese slices, 250 grams",2.46,2001-05-01
"Evaporated milk, 385 millilitres",1.14,2001-05-01
"Eggs, 1 dozen",1.98,2001-05-01
"Bread, 675 grams",1.41,2001-05-01
"Soda crackers, 450 grams",1.89,2001-05-01
"Macaroni, 500 grams",0.97,2001-05-01
"Flour, 2.5 kilograms",3.46,2001-05-01
"Corn flakes, 675 grams",3.32,2001-05-01
"Apples, 1 kilogram",2.58,2001-05-01
"Bananas, 1 kilogram",1.32,2001-05-01
"Oranges, 1 kilogram",2.58,2001-05-01
"Apple juice, 1.36 litres",1.58,2001-05-01
"Orange juice, 1 litre",3.04,2001-05-01
"Carrots, 1 kilogram",1.66,2001-05-01
"Mushrooms, 1 kilogram",6.26,2001-05-01
"Onions, 1 kilogram",1.38,2001-05-01
"Potatoes, 4.54 kilograms",3.64,2001-05-01
"French fried potatoes, frozen, 1 kilogram",1.73,2001-05-01
"Baked beans, canned, 398 millilitres",0.82,2001-05-01
"Tomatoes, canned, 796 millilitres",1.22,2001-05-01
"Tomato juice, 1.36 litres",1.48,2001-05-01
"Ketchup, 1 litre",2.61,2001-05-01
"Sugar, white, 2 kilograms",2.46,2001-05-01
"Coffee, roasted, 300 grams",3.16,2001-05-01
